id,name,role,industry,experience,funding_needed,funding_available,email,phone,linkedin
1,Ashley Burton,newbie,E-commerce,0,0,0,melissa82@hotmail.com,(183)579-4806,http://www.george.biz/
2,Chelsey Holmes,entrepreneur,Education,0,77623,0,catherineburnett@hotmail.com,+1-161-641-2392x3719,http://bell.com/
3,Rachel Hunter,newbie,AI,0,0,0,brandon30@ramirez-martin.biz,485-571-7589,http://www.fitzpatrick.biz/
4,Tristan Chapman,mentor,Blockchain,3,0,0,hensonrichard@gmail.com,619.408.4080,https://king-barrett.biz/
5,Cynthia Mays,mentor,Finance,22,0,0,sethcox@gmail.com,804.557.6881x26634,http://rivera.info/
6,Angela Smith,newbie,Blockchain,0,0,0,kelly63@barrera-todd.com,223.825.5003x7681,http://www.rodriguez.biz/
7,Tyler Henry,investor,Tech,6,0,480537,heidi56@thompson.com,716.859.4435,http://www.ward-harris.org/
8,Mary Robinson,mentor,Healthcare,5,0,0,colemanjohn@williams.org,872.609.3590x9084,https://www.mccoy.com/
9,Michelle Johnson,investor,E-commerce,2,0,145441,thughes@thompson-powell.com,5578443917,https://www.larsen.com/
10,Brian Jacobs,newbie,Healthcare,0,0,0,patricia47@wells-jordan.com,(941)698-8113x135,http://www.newman.com/
11,Belinda Thomas,mentor,E-commerce,16,0,0,williamortega@hotmail.com,001-419-674-0746,http://mckee.com/
12,Amy Moreno,mentor,Blockchain,3,0,0,hodgesmatthew@french.com,(078)016-7592x095,https://alvarez-hart.com/
13,Carlos Nelson,entrepreneur,Education,25,68327,0,murphybilly@gmail.com,660.304.1482x994,https://wheeler-thomas.net/
14,Keith Williams,mentor,E-commerce,11,0,0,sherry81@martin-bailey.com,753.720.7032x456,http://www.king.biz/
15,Charles Townsend,entrepreneur,Blockchain,8,12099,0,jameshughes@hotmail.com,540-861-6893,https://lewis.com/
16,Julia Cervantes,mentor,AI,28,0,0,adkinsjerry@diaz.net,6577438159,https://brown-lee.com/
17,Kathleen Butler,investor,AI,7,0,431039,tyler99@gmail.com,213-825-9597x39011,http://www.castro.info/
18,Nicholas Harris,mentor,Finance,9,0,0,rjohnson@gmail.com,+1-098-346-6672x1528,http://bryant.com/
19,Keith Russell,newbie,Education,0,0,0,geoffrey40@rodriguez-thompson.com,(394)478-3443x9703,https://brooks-randall.com/
20,Sabrina King,mentor,Tech,29,0,0,cheyenne18@vargas.com,+1-599-885-9822x086,https://martin.com/
21,Derek Allison,investor,E-commerce,3,0,131956,xhughes@yahoo.com,043-623-8130x58592,http://lambert.biz/
22,Megan Chan,mentor,AI,2,0,0,pamelastout@evans-cox.com,+1-700-497-5023,http://turner-moreno.biz/
23,Ronald Woods,mentor,E-commerce,11,0,0,kimberly78@hotmail.com,481.236.0927x8085,http://robinson.net/
24,Dr. Andrew Garza,mentor,Tech,0,0,0,eric89@yahoo.com,(386)219-3050x7045,https://www.moss.com/
25,Pamela Holmes,entrepreneur,AI,21,85229,0,carpentercrystal@gmail.com,912.790.8766,http://odonnell.com/
26,Dustin Delgado,mentor,AI,5,0,0,lisaboyd@price.net,856.889.6487,http://wallace.com/
27,David Miller,entrepreneur,Healthcare,22,42264,0,beltrantracy@yahoo.com,(206)219-3258x9884,http://bell.com/
28,Sean Munoz,mentor,Education,17,0,0,johnsonpaul@jones-hall.com,(589)769-4119,https://www.schroeder.com/
29,Sharon Brown,entrepreneur,AI,28,16541,0,donaldharvey@bowman-ward.com,001-972-221-0496,https://garcia-donaldson.com/
30,Hector Perez,entrepreneur,Tech,8,62173,0,zjohnson@yahoo.com,001-240-803-9515x0200,https://www.tanner.net/
31,Tyler Hatfield,mentor,Tech,8,0,0,diaznicholas@williams.org,001-158-093-9723x6655,https://berry.com/
32,Ashley Rhodes,newbie,AI,0,0,0,jameschristopher@daniels.com,(122)100-4476x905,https://www.perry.info/
33,Kelly Quinn,mentor,Finance,15,0,0,christopherbrown@gmail.com,1314135138,http://www.jones-brennan.com/
34,Heather Vasquez,entrepreneur,Finance,19,97440,0,lsoto@yahoo.com,+1-625-764-9680,https://www.long.com/
35,Matthew Bradley,entrepreneur,Finance,23,20628,0,lisa63@chang.com,809.605.1436x330,https://www.martin.net/
36,Erika Ponce,entrepreneur,Finance,19,66982,0,nortonvirginia@hotmail.com,+1-711-067-9465x8395,http://manning.org/
37,Monica Miller,entrepreneur,Finance,16,27321,0,stephanierose@hebert.net,984.949.2856x35817,https://torres.net/
38,Frank Jones,investor,E-commerce,9,0,378531,rogersaaron@smith-hernandez.com,722.626.1499,https://www.crawford-mayer.info/
39,Stephanie Armstrong,investor,AI,23,0,68341,jennifermartinez@yahoo.com,001-626-122-2834x05429,http://woodward.com/
40,Douglas Torres,mentor,Blockchain,2,0,0,martinezmelissa@moore.com,680-014-0567,https://kelly.biz/
41,Richard Nguyen,investor,Finance,26,0,293994,ubaldwin@stewart-sullivan.com,231-929-3545,https://montgomery-christensen.biz/
42,Michele Potter,mentor,Blockchain,24,0,0,michelle25@gonzalez-guerra.biz,828-809-7159,https://riley.info/
43,Kristie Smith,mentor,Education,24,0,0,feliciasalazar@williams.com,4276964814,https://www.jones.org/
44,David Sullivan,newbie,Tech,0,0,0,fernandezbrian@warren-vazquez.com,(925)720-1434x2775,http://www.perez-fletcher.com/
45,Regina Gibson,newbie,Tech,0,0,0,pdecker@hotmail.com,(754)713-2474,https://www.thomas.com/
46,Ronald Fritz,mentor,Education,1,0,0,joanne10@yahoo.com,+1-947-071-9906x448,https://www.martinez-simon.com/
47,Kenneth Mack,mentor,E-commerce,15,0,0,edwardsingleton@hotmail.com,0610635213,https://williams.net/
48,Beth Johnson,investor,Education,10,0,151679,nicole89@clark-flores.info,1412785806,https://hill.com/
49,Michael Carter,investor,Blockchain,18,0,485117,brownnicole@yahoo.com,252-685-4985x725,https://www.barajas.biz/
50,Justin Bailey,entrepreneur,Education,30,17314,0,cclay@hotmail.com,9194982992,http://www.morris-warren.com/
51,Tabitha Zimmerman,entrepreneur,E-commerce,22,50982,0,brownjoe@joyce-barnes.biz,7158978253,http://shaw-pena.com/
52,Allison Bishop,investor,Education,21,0,293467,johndawson@hotmail.com,+1-800-435-3031x0976,https://brown.com/
53,Alan Hernandez DDS,newbie,Tech,0,0,0,michelle17@yahoo.com,(286)261-0815x67427,http://calderon.info/
54,Christine Montgomery,entrepreneur,Healthcare,28,42364,0,loriwilliams@hotmail.com,001-981-501-5700x5826,https://moore.info/
55,Joshua Howell,investor,Blockchain,19,0,296975,brooksjennifer@stone.biz,001-318-442-0123x316,http://www.kirk.info/
56,Jason Clark,newbie,Blockchain,0,0,0,joshuamartin@howard-gutierrez.org,(335)478-3367,https://www.norris.info/
57,Jessica Vargas,mentor,AI,28,0,0,ruizblake@yahoo.com,462-772-2324x382,https://johnson.com/
58,Stacey Brown,investor,Education,30,0,142834,hernandezwilliam@yahoo.com,202.603.5538x07356,http://www.peters-montgomery.com/
59,Patrick Contreras,mentor,E-commerce,22,0,0,xreese@yahoo.com,001-557-976-6728x874,http://www.scott.com/
60,Donald Hall,newbie,Blockchain,0,0,0,chloesnow@bruce.com,827-671-0406x13596,https://www.kramer.info/
61,Richard Garcia,investor,AI,24,0,245258,fwalker@hotmail.com,(084)780-9592,http://www.robinson-macdonald.com/
62,Joshua Brown,newbie,Blockchain,0,0,0,christy49@taylor.com,238-502-7029,https://schmidt.com/
63,Diana Fritz,mentor,Tech,10,0,0,erinhoffman@hotmail.com,+1-727-997-4508x04042,https://www.collins-pope.info/
64,Samantha Stout,mentor,Healthcare,11,0,0,fbell@solomon.net,5069867857,https://www.nelson.net/
65,Deborah Webb,entrepreneur,Education,15,76310,0,ljones@harris.com,802-339-5475,https://johnson.com/
66,Deborah Gonzalez,investor,Tech,13,0,359105,horntodd@hotmail.com,114-480-1320x0805,http://palmer.com/
67,Christopher Matthews,entrepreneur,E-commerce,24,11652,0,erivas@white.com,(389)411-9721,https://www.lynch.com/
68,Sierra Gilmore,mentor,Blockchain,14,0,0,dana45@alexander.biz,370.499.2066,http://www.riley.com/
69,Matthew Hunt,investor,Tech,6,0,120910,kelly05@gmail.com,943-716-3496x956,http://www.hernandez.org/
70,Sandy Smith,investor,Blockchain,2,0,375996,rachaeljacobson@mendez-roth.biz,+1-996-599-4529x01659,http://thompson.com/
71,William Stanley,entrepreneur,Education,13,64445,0,buchanandavid@anderson.com,001-506-621-4870x4320,http://young.net/
72,Gary Scott,newbie,Healthcare,0,0,0,jweber@ortiz.info,(285)772-5941,https://lopez.com/
